ID,SUBCOUNTY,key,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,Number of Students,s_lat,s_lon,Number of Teachers,Number of Learners,Number of Classrooms,Number of Latrines,Number of additional classrooms constructed,Number of additional gender-sensitive WASH facilities,Number of AEP Centres established,Number of learners provided with scholastic materials,Number of children with disabilities supported with assistive devices,Number of schools with improved accesibility for chuldren with disabilities,Number of teachers provided with training prigrammes on accommodating children with disabilities in schools,Number of girls supported with menstrual hygience management,Number of school-aged boys and girls continuously accessing quality and protective learning opportunities relevant to the emergency,"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner","Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Percentage of 'age-appropriate' learners that transition into the formal primary school system,Percentage of teachers who demonstrate improvement against relevant competencies within the national teacher competency framework,Percentage of learners that sit for PLE pass the examination,Percentage of AEP centres that have functional referral pathway mechanisms established,Year,Term,Current Number of Students,Partner Organisation,Average Attendence
1,ABAKO,ABAKO,Abiriamajo Primary School,Primary School,4922,3.381913,31.29464,1155,12942,15,8,64,350,11,2575,5768,10,1374,18342,3137,70,11298,85,53,13,81,2019,1,4868,Finn Church Aid,3872
2,ABANGA,ABANGA,Agomvusus Primary School,Primary School,3650,2.99755,31.40893,354,10651,12,26,32,253,9,6695,2118,11,998,16140,7161,13,11312,30,92,75,11,2019,1,3980,Plan International Uganda,1475
3,ABARILELA,ABARILELA,Alaba Primary School,Primary School,4176,3.526745,31.34907,179,7946,29,16,14,418,5,6085,4464,7,1492,891,7147,29,10882,70,34,73,13,2019,1,9150,APPCO,2067
4,ABER,ABER,Abiriamajo Primary School,Primary School,4922,3.381913,31.29464,829,7763,16,26,15,124,16,7567,2563,13,11,5361,10172,0,9491,80,98,53,85,2019,2,2270,Finn Church Aid,491
5,ABIA,ABIA,Agomvusus Primary School,Primary School,3650,2.99755,31.40893,309,4371,13,29,49,364,15,6020,3290,3,199,20249,18761,70,9288,2,18,35,61,2019,2,1299,AVSI + Luigi Institute of Higher Education,25
6,ABIM TOWN COUNCIL,ABIM TOWN COUNCIL,Alaba Primary School,Primary School,4176,3.526745,31.34907,859,17380,39,6,6,325,1,10227,1635,3,1230,15785,11184,80,11211,0,8,21,85,2019,2,7739,ZOA + Palm Corps,6034
7,ABIM,ABIM,Abiriamajo Primary School,Primary School,4922,3.381913,31.29464,1115,6061,33,1,45,44,16,7660,4454,2,173,6579,9241,72,9523,29,87,17,96,2019,3,2323,ZOA + Palm Corps,1540
8,ABINDU DIVISION,ABINDU DIVISION,Agomvusus Primary School,Primary School,3650,2.99755,31.40893,808,8103,10,11,9,33,14,5773,5658,1,636,10141,14333,62,15587,39,5,52,65,2019,3,8881,AVSI + Luigi Institute of Higher Education,6903
9,ABOKE,ABOKE,Alaba Primary School,Primary School,4176,3.526745,31.34907,1142,5262,7,12,62,163,20,7246,576,4,1134,18434,13521,87,1446,43,76,71,26,2019,3,9135,APPCO,1948
10,ABOK,ABOK,Ayilo II AEP Centre,AEP centre,3669,3.257749,31.92544,1411,4444,30,19,5,269,10,9458,4856,9,921,1301,5560,54,3839,77,34,3,66,2019,1,5865,Norwegian Refugee Council,3534
11,ABONGOMOLA,ABONGOMOLA,Aywee Primary School,Primary School,6391,3.362251,32.42956,1121,18982,3,5,5,250,19,6397,2162,7,176,19444,5985,100,13357,60,24,32,32,2019,1,4500,AVSI + Luigi Institute of Higher Education,4312
12,ABUKU,ABUKU,Belameling Primary School,AEP centre,1823,3.105932,31.15897,1070,788,22,6,59,250,18,1947,421,2,661,5639,2237,22,4410,72,77,70,15,2019,1,4262,War Child Canada,943
13,ACABA,ACABA,Ayilo II AEP Centre,AEP centre,3669,3.257749,31.92544,1397,12250,14,6,16,157,18,579,5612,4,288,1435,10328,43,6591,55,35,7,56,2019,2,4363,Save the Children International,1509
14,ACHOLIBUR,ACHOLIBUR,Aywee Primary School,Primary School,6391,3.362251,32.42956,666,18867,15,13,29,74,7,2019,5321,3,42,5,10395,93,18780,22,2,35,0,2019,2,7190,APPCO,2827
15,ACOWA,ACOWA,Belameling Primary School,AEP centre,1823,3.105932,31.15897,897,14038,1,30,69,233,3,10291,4866,7,250,8514,11990,100,2385,35,59,91,38,2019,2,6475,Save the Children International,1158
16,ADEKNINO,ADEKNINO,Ayilo II AEP Centre,AEP centre,3669,3.257749,31.92544,1048,8268,48,8,15,302,16,6251,4448,7,1489,7411,2546,77,17798,85,16,83,25,2019,3,6527,Finn Church Aid,5171
17,ADEKOKWOK,ADEKOKWOK,Aywee Primary School,Primary School,6391,3.362251,32.42956,1152,4309,4,26,1,252,1,5149,2076,14,735,1936,13527,48,3670,90,83,66,44,2019,3,5439,War Child Canada,1166
18,ADILANG,ADILANG,Belameling Primary School,AEP centre,1823,3.105932,31.15897,1248,10092,16,7,39,413,16,6162,4583,13,1387,16348,4570,20,6536,73,42,75,18,2019,3,4999,AVSI + Luigi Institute of Higher Education,4236
19,ADJUMANI TOWN COUNCIL,ADJUMANI TOWN COUNCIL,Chinyi Primary School,AEP centre,6025,3.471714,31.62136,636,17970,22,22,20,341,11,1009,938,7,715,36,2485,80,2506,46,17,73,65,2019,1,3747,War Child Canada,2030
20,ADOK,ADOK,Dradranga Primary School,Primary School,3453,3.362877,31.39265,184,15147,16,28,36,440,17,6435,899,14,1368,9645,7870,44,10287,54,91,97,40,2019,1,2692,Finn Church Aid,335
21,ADROPI,ADROPI,Eden Primary School,AEP centre,2268,3.412344,31.58498,1005,11822,34,4,59,439,19,3515,4326,9,807,18506,15112,26,6839,30,4,82,52,2019,1,7896,Norwegian Refugee Council,1042
22,ADUKU TOWN COUNCIL,ADUKU TOWN COUNCIL,Chinyi Primary School,AEP centre,6025,3.471714,31.62136,627,1058,3,19,32,192,18,10916,5348,12,1091,1922,9128,19,11874,9,71,33,81,2019,2,1067,ZOA + Palm Corps,758
23,ADUKU,ADUKU,Dradranga Primary School,Primary School,3453,3.362877,31.39265,556,13634,3,3,66,221,20,8728,4728,14,432,1227,5065,61,8576,100,82,69,15,2019,2,8164,Plan International Uganda,2003
24,ADUMI,ADUMI,Eden Primary School,AEP centre,2268,3.412344,31.58498,966,15287,16,13,58,208,8,5729,5024,10,925,3031,6261,87,19682,70,100,63,50,2019,2,5389,ZOA + Palm Corps,4747
25,ADWARI,ADWARI,Chinyi Primary School,AEP centre,6025,3.471714,31.62136,235,19986,13,4,22,218,7,3261,2815,9,1443,18444,5635,4,19545,44,6,66,29,2019,3,9658,ZOA + Palm Corps,2027
26,ADYEL DIVISION,ADYEL DIVISION,Dradranga Primary School,Primary School,3453,3.362877,31.39265,1452,16235,23,28,48,248,1,8328,2959,4,108,15470,16569,31,7629,44,53,42,57,2019,3,3369,APPCO,3286
27,AGAGO TOWN COUNCIL,AGAGO TOWN COUNCIL,Eden Primary School,AEP centre,2268,3.412344,31.58498,63,15792,33,28,35,450,14,6088,4646,10,1207,13335,8037,95,16959,69,38,11,83,2019,3,1235,Plan International Uganda,1205
28,AGALI,AGALI,Inyau Primary School,Primary School,5719,3.263688,31.25081,915,6090,31,25,2,444,7,5704,29,7,700,17435,18927,59,3801,10,93,48,56,2019,1,4357,APPCO,535
29,AGIKDAK,AGIKDAK,Itula Primary School,AEP centre,2524,3.500916,31.67091,88,18340,28,30,65,161,20,5585,1678,14,982,20792,9477,67,4270,23,22,37,50,2019,1,9981,Finn Church Aid,7153
30,AGORO,AGORO,Iyete Primary School,Primary School,2400,3.44001,31.39445,1494,18303,38,14,51,433,20,7032,398,2,68,15679,11640,30,9837,74,100,5,76,2019,1,5084,Finn Church Aid,3623
31,AGULE,AGULE,Inyau Primary School,Primary School,5719,3.263688,31.25081,1005,1326,26,13,45,361,6,3071,5416,4,292,8590,17895,58,1117,90,90,80,46,2019,2,6813,Finn Church Aid,2037
32,AGWATA,AGWATA,Itula Primary School,AEP centre,2524,3.500916,31.67091,471,6680,48,12,57,270,20,5914,1486,13,328,10799,14087,47,11207,84,24,31,68,2019,2,3201,Finn Church Aid,524
33,AGWENG,AGWENG,Iyete Primary School,Primary School,2400,3.44001,31.39445,998,14182,3,20,27,29,12,4302,2380,13,1483,4318,11971,93,14242,66,89,80,84,2019,2,7815,Finn Church Aid,4166
34,AGWINGIRI,AGWINGIRI,Inyau Primary School,Primary School,5719,3.263688,31.25081,139,6245,22,7,1,313,15,7734,3303,9,1317,14507,14207,77,18289,84,57,35,77,2019,3,4231,ZOA + Palm Corps,1659
35,AII-VU,AII-VU,Itula Primary School,AEP centre,2524,3.500916,31.67091,994,15402,24,20,17,215,17,3077,5631,10,875,11485,3630,91,3822,68,52,39,43,2019,3,198,War Child Canada,19
36,AJIA,AJIA,Iyete Primary School,Primary School,2400,3.44001,31.39445,1382,12232,16,6,23,150,10,4163,1744,15,721,14414,3869,79,2212,59,52,16,52,2019,3,5264,ZOA + Palm Corps,2788
37,AKALO,AKALO,Inyau Primary School,Primary School,5719,3.263688,31.25081,1399,8521,41,2,70,228,14,2426,5953,13,298,21366,18184,63,16959,92,9,55,61,2019,1,602,ZOA + Palm Corps,203
38,AKERIAU,AKERIAU,Itula Primary School,AEP centre,2524,3.500916,31.67091,1031,18837,37,29,40,91,20,1090,1263,9,578,14329,14905,57,11157,92,52,74,25,2019,1,4278,War Child Canada,4264
39,AKISIM,AKISIM,Iyete Primary School,Primary School,2400,3.44001,31.39445,1201,5101,50,13,45,126,19,3927,1439,3,74,4745,15316,75,10309,46,19,78,4,2019,1,7033,Plan International Uganda,1269
40,AKOKORO,AKOKORO,Juru Primary School,Primary School,3142,-0.84277,30.78977,1371,19480,44,22,27,8,19,4717,4120,11,311,394,3451,71,1090,51,77,62,75,2019,2,8090,War Child Canada,7676
41,AKOROMIT,AKOROMIT,Kabazana Nursery and Primary School,AEP centre,4769,0.328273,30.65777,1049,1678,5,17,26,203,7,2249,36,1,119,19227,10116,87,543,86,75,51,72,2019,2,1624,War Child Canada,1104
42,AKURA,AKURA,Kaborogota Primary School,Primary School,1387,0.384407,31.09567,516,12610,46,17,24,287,20,608,4322,4,1314,10357,1120,47,19520,72,9,65,92,2019,2,1125,War Child Canada,886
