OBJECTID,ID,SCODE2014,SNAME2014,Subcounty_2014,Urban_Status_2014,Municipality_Name,CONST_CODE,CONSTITUENCY,CCODE2014,CNAME2014,DCODE2014,DNAME2014,DNAME2016,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,Shape_Length,Shape_Area
1,517,205108,NAMWENDWA,Namwendwa,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,11293,57606,27909,29697,149.2138945,386.0632429,12127,1189,4736,14366,8340,14933,8400,9269,2024,6712,6103,1241,10759,9792,10867,10588,1905,9388,530,10763,7792,3501,1175,10118,2690,7744,859,945,8.368015585,559,8351,1438,58591.87729,149215190.6
2,511,205104,KAMULI TOWN COUNCIL,Kamuli (Northern + Southern Division),Municipality,Kamuli,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,13152,58984,28049,30935,3.586415094,16446.50674,11204,794,3109,12020,15580,21272,5236,6930,6222,8556,5357,1565,12393,12439,12653,12064,1672,11480,264,12888,5191,7961,535,12617,3565,9366,221,3535,26.87804136,1339,6679,1599,7840.775803,3586449.333
3,514,205203,MBULAMUTI,Mbulamuti,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,5527,29507,14249,15258,94.96882832,310.7019485,6823,284,1852,7614,4462,8100,3601,4709,818,3375,3002,528,5297,4993,5368,5163,1592,3935,674,4853,4080,1447,258,5269,1541,3812,174,401,7.255292202,301,4143,682,60413.75708,94969720.98
4,508,205201,BUGULUMBYA,Bugulumbya,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,6958,36281,17603,18678,80.47081656,450.8591008,8221,487,2187,8759,6336,10569,3916,5746,1212,4349,3408,699,6712,5976,6577,6462,802,6156,171,6787,4795,2163,146,6812,1483,5322,153,606,8.709399253,365,5620,367,46710.31405,80471592.94
5,516,205107,NAMASAGALI,Namasagali,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,6935,37563,18653,18910,217.1102366,173.0134911,8013,912,3296,9647,3986,8909,5566,5853,1082,4102,4104,571,6662,5442,6380,6573,2737,4198,1729,5206,5539,1396,963,5972,1144,5215,576,462,6.66186013,210,5388,875,66985.06946,217112334.9
6,515,205106,NABWIGULU,Nabwigulu,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,4291,21987,10700,11287,135.4777517,162.2923302,4679,488,1386,5901,3070,6045,2805,3420,871,2578,2424,498,4082,3898,4108,4021,929,3362,401,3890,3227,1064,138,4153,919,3214,158,301,7.014681892,258,3359,373,71027.48718,135479053.6
7,512,205202,KISOZI,Kisozi,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,8980,47700,23204,24496,122.235336,390.2308577,10431,878,3288,11758,7442,12952,5799,7142,1838,5527,4664,1053,8649,7808,8482,8264,2123,6857,217,8763,6611,2369,743,8237,2054,6667,259,696,7.750556793,443,6969,872,59582.47743,122236380
8,507,205101,BALAWOLI,Balawoli,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,10115,54298,26768,27530,358.1527396,151.6057089,11249,1536,4758,13661,6053,11864,9098,8161,1954,6232,5932,1006,9701,7801,9576,9679,4007,6108,3267,6848,8206,1909,1741,8374,1475,7255,1385,578,5.714285714,671,7041,1825,86546.01084,358156270.4
9,519,205205,WANKOLE,Wankole,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,3793,19988,9685,10303,51.4853103,388.2272416,4474,319,1271,4977,3266,5357,2664,3169,624,2389,1987,379,3656,3102,3499,3571,761,3032,182,3611,2714,1079,95,3698,865,2795,133,256,6.74927498,246,2915,376,37892.7975,51485784.99
10,510,205103,BUTANSI,Butansi,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,5509,29570,14457,15113,99.03909032,298.5689782,6743,417,2259,7442,3962,7766,3760,4796,713,3474,3325,536,5288,4789,5191,5150,1022,4487,391,5118,4023,1486,150,5359,1257,4021,231,349,6.335088038,155,4422,583,61878.40896,99039972.51
