ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014
1,ABIM,Abim,314,ABIM,Abim,KARAMOJA,NORTHERN REGION,18083,107966,52456,55510,2748.699895,39.27893337,5.970580103,18443,7713,14180,19801,17082,25960,17290,15683,2400,5480,6585,913,17581,12459,14967,8086,15430,2653,15094,2989,16106,1977,320,17763,2770,9155,6158,907,5.015760659,2037,3159,11980
2,ADJUMANI,Adjumani,301,ADJUMANI,Adjumani,WEST NILE,NORTHERN REGION,41360,225251,108298,116953,3090.274506,72.89028842,5.44610735,41951,8395,22088,53638,30817,53887,35909,25517,15843,13955,13382,3016,37794,32596,36639,33509,30178,11182,35680,5680,33787,7573,2631,38729,8407,26320,6633,3716,8.984526112,3987,9934,23723
3,AGAGO,Agago,322,AGAGO,Agago,ACHOLI,NORTHERN REGION,43418,227792,110495,117297,3524.058046,64.63911689,5.246487632,41806,11027,26128,54961,26739,51661,39671,39867,3551,15678,21342,1537,41807,31532,38330,29469,38022,5396,37087,6331,39966,3452,10702,32716,8506,12354,22558,2492,5.739555023,10607,20726,9593
4,ALEBTONG,Alebtong,323,ALEBTONG,Alebtong,LANGO,NORTHERN REGION,46280,227541,110989,116552,1550.857007,146.7195228,4.916616249,43305,8896,22128,67215,24265,61705,34476,42738,3542,23668,26557,1710,45229,37688,43404,39828,40712,5568,35356,10924,42805,3475,15618,30662,6346,33334,6600,1871,4.04278306,4901,29050,10458
5,AMOLATAR,Amolatar,315,AMOLATAR,Amolatar,LANGO,NORTHERN REGION,27988,147166,73014,74152,1751.918857,84.00274901,5.258182078,28207,5287,8926,46224,18620,46339,16832,23864,4124,15685,19866,1738,26927,23859,26286,26631,23629,4359,18661,9327,25082,2906,859,27129,2304,21477,4207,2591,9.257538945,2980,10193,12224
6,AMUDAT,Amudat,324,AMUDAT,Amudat,KARAMOJA,NORTHERN REGION,15494,105769,54246,51523,1632.224646,64.80051643,6.826448948,6609,20074,33178,4169,4281,6462,28840,12010,3484,3045,1600,0,13468,8375,13133,12471,14783,711,11862,3632,14334,1160,6632,8862,652,1338,13504,293,1.891054602,2088,1372,11741
7,AMURIA,Amuria,216,AMURIA,Amuria,TESO,EASTERN REGION,48316,270928,132521,138407,2586.641037,104.741244,5.607417833,54262,8759,21415,73694,33464,67628,40681,41769,6547,25337,29873,2286,46015,37400,44207,41345,42584,5732,41278,7038,43594,4722,4079,44237,7093,29687,11536,3449,7.138422055,2752,18163,23952
8,AMURU,Amuru,316,AMURU,Amuru,ACHOLI,NORTHERN REGION,36694,186696,91284,95412,3538.439325,52.76224426,5.087916281,35206,9535,21304,47093,18913,43123,31700,31625,5069,15107,14365,3475,33205,27996,33246,25606,34206,2488,30313,6381,34219,2475,18006,18688,6343,21306,9045,2414,6.578732218,7239,22596,4445
9,APAC,Apac,302,APAC,Apac,LANGO,NORTHERN REGION,71680,368626,180995,187631,3226.048107,114.2655,5.14266183,69945,13791,21639,119790,45131,115627,43485,63669,8011,42524,48662,4398,69304,58000,66307,65857,57819,13861,52348,19332,62718,8962,7243,64437,10595,52457,8628,4357,6.078404018,9257,29274,28792
10,ARUA,Arua,303,ARUA,Arua,WEST NILE,NORTHERN REGION,145230,773767,370533,403234,4340.553525,178.2645913,5.327873029,135743,28225,64570,230408,104365,234514,107942,113205,32025,76199,57390,131710,123850.4,127596,138752,127827,81542,63688,100542,44688,120135,25095,38449,106781,22352,105455,17423,15943,10.97775942,39128,74989,15170
