Organisation_Name,s_city_id,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,e_city_id,Referral_Pathway,Transition_Pathway,s_lat,s_lon,e_lat,e_lon,Number of school-aged boys and girls continuously accessing quality and protective learning opportunities relevant to the emergency,"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner.","Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Percentage of 'age-appropriate' learners that transition into the formal primary school system,Percentage of teachers who demonstrate improvement against relevant competencies within the national teacher competency framework,Percentage of Level 1 and Level 2 learners who meet the criteria for advancing from one level,Number of learning spaces/schools set up or rehabilitated and equipped to meet standards,Percentage of learners that sit for PLE (Primary Leaving Examination) pass the examination,"Percentage of learners that sit for PLE, pass, and transition to secondary/vocational opportunities","Percentage of AEP teachers who demonstrate an increased understanding and application of psychosocial support, positive discipline, child safeguarding and child protection following training",Percentage of the targeted children have an average increase on PSS well - being.,"Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Percentage of AEP centres that have functional referral pathway mechanisms established.,Percentage of Accelerated Education Centre Management Committee (CMC) members demonstrating an improved understanding of their roles and responsibilities.,"Percentage of CMC members demonstrating active involvement in decision making processes, problem solving and planning for school events.",Percentage of relevant district authority staff demonstrating an improved understanding of the AEP approach and principles,Number of additional classrooms constructed.,Number of additional gender-sensitive WASH facilities,Number of AEP Centres established,Number of learners provided with scholastic materials,Percentage of learners targeted under the ECW Programme with access to scholastic materials,Number of children with disabilities supported with assistive devices,Number of schools with improved accessibility for children with disabilities,Percentage of schools accessible to children with a mobility impairment.,Number of teachers provided with training programmes on accommodating children with disabilities in schools.,Number of education facilities reached with awareness and monitoring of child protections issues,Number of girls supported with menstrual hygiene management,Number of teachers supported through salary,"Number of teachers provided with induction training, refresher course and support",Number of training programme for refugee teacher being developed,Percentage of schools supervised at least once a term by the district education office/ DES/ MEOS,Number of primary schools provided with relevant teaching and learning materials,Number of teachers in AEP centres provided with relevant teaching and learning materials,Number of pilot studies conducted on early grade reading and numeracy,Percentage of AEP actors that are implementing AEP in line with the contextualized and harmonized AEP guidelines
Finn Church Aid,1,Abiriamajo Primary School,Primary School,,,,3.381913,31.29464,,,39,66,93,53,15,57,70,51,56,8,85,77,49,37,59,32,76,41,49,56,46,81,44,9,0,37,19,14,53,45,86,52,24,1,59
Plan International Uganda,2,Agomvusus Primary School,Primary School,,,,2.99755,31.40893,,,21,80,26,22,94,75,90,98,81,83,40,45,93,36,43,95,64,41,10,74,14,76,37,47,41,98,96,65,72,36,20,96,25,16,34
APPCO,3,Alaba Primary School,Primary School,,,,3.526745,31.34907,,,96,11,14,67,20,33,85,80,51,88,99,75,58,23,69,69,30,5,82,90,8,91,12,77,10,87,48,15,73,20,69,51,42,41,73
Finn Church Aid,4,Ambia Primary School,Primary School,,,,3.364688,31.35212,,,87,26,15,24,47,95,48,11,27,92,96,79,11,73,59,34,40,18,4,56,66,15,98,60,70,55,38,86,32,63,79,54,64,75,94
AVSI + Luigi Institute of Higher Education,5,Apyeta Primary School,Primary School,,,,3.371038,32.4469,,,76,63,35,25,3,34,48,52,87,24,74,4,92,84,70,29,58,17,75,9,84,53,88,60,46,72,17,19,81,98,70,60,62,84,21
ZOA + Palm Corps,6,Ariaze Primary School,Primary School,,,,3.130247,31.27149,,,48,54,2,14,89,99,66,25,97,81,56,32,24,62,11,75,9,21,80,98,99,96,74,33,73,41,37,35,51,27,57,56,13,70,46
ZOA + Palm Corps,7,Away Primary School,Primary School,,,,3.22384,31.28152,,,44,24,76,66,92,28,96,7,68,34,36,4,32,30,96,29,9,18,30,68,57,38,52,40,98,10,56,15,79,33,60,19,22,75,17
AVSI + Luigi Institute of Higher Education,8,Awich Nursery and Primary School,Primary School,,,,3.365537,32.44265,,,63,92,29,75,18,43,67,40,48,7,12,97,68,93,4,20,44,31,34,85,62,10,38,86,68,53,55,52,85,49,59,74,33,34,16
APPCO,9,Awinga Primary School,Primary School,,,,3.20012,31.44584,,,17,29,23,84,82,40,14,20,48,92,52,40,76,2,81,72,37,16,24,53,20,46,69,41,21,16,98,26,33,27,78,3,61,82,18
Norwegian Refugee Council,10,Ayilo II AEP Centre,AEP centre,,,,3.257749,31.92544,,,40,61,70,3,53,23,52,43,33,22,84,5,98,98,36,63,56,25,61,34,83,56,84,5,6,32,84,59,73,43,9,33,66,56,47
