Organisation_Name,s_city_id,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,e_city_id,Referral_Pathway,Transition_Pathway,s_lat,s_lon,e_lat,e_lon
Finn Church Aid,1,Abiriamajo Primary School,Primary School,,,,3.381913,31.29464,,
Plan International Uganda,2,Agomvusus Primary School,Primary School,,,,2.99755,31.40893,,
APPCO,3,Alaba Primary School,Primary School,,,,3.526745,31.34907,,
Finn Church Aid,4,Ambia Primary School,Primary School,,,,3.364688,31.35212,,
AVSI + Luigi Institute of Higher Education,5,Apyeta Primary School,Primary School,,,,3.371038,32.4469,,
ZOA + Palm Corps,6,Ariaze Primary School,Primary School,,,,3.130247,31.27149,,
ZOA + Palm Corps,7,Away Primary School,Primary School,,,,3.22384,31.28152,,
AVSI + Luigi Institute of Higher Education,8,Awich Nursery and Primary School,Primary School,,,,3.365537,32.44265,,
APPCO,9,Awinga Primary School,Primary School,,,,3.20012,31.44584,,
Norwegian Refugee Council,10,Ayilo II AEP Centre,AEP centre,,,,3.257749,31.92544,,
AVSI + Luigi Institute of Higher Education,11,Aywee Primary School,Primary School,,,,3.362251,32.42956,,
War Child Canada,12,Belameling Primary School,AEP centre,,,,3.105932,31.15897,,
Save the Children International,13,Belle Primary School,AEP centre,1,Save the children International,Belle,3.552944,31.80733,3.3884481,31.361842
APPCO,14,Beyogoya Primary School,Primary School,,,,3.36377,32.43644,,
Save the Children International,15,Bongilo Primary School,AEP centre,1,Save the children International,Bongilo,3.412344,31.58498,3.3884481,31.361842
Finn Church Aid,16,Bright Light Primary School,AEP centre,,,,3.484363,31.39079,,
War Child Canada,17,Budri Primary School,AEP centre,,,,3.149502,31.24843,,
AVSI + Luigi Institute of Higher Education,18,Canaan Primary School,Primary School,,,,3.367746,32.44124,,
War Child Canada,19,Chinyi Primary School,AEP centre,,,,3.471714,31.62136,,
Finn Church Aid,20,Dradranga Primary School,Primary School,,,,3.362877,31.39265,,
Norwegian Refugee Council,21,Eden Primary School,AEP centre,,,,3.412344,31.58498,,
ZOA + Palm Corps,22,Emmanuel Primary School,Primary School,,,,3.266808,31.27263,,
Plan International Uganda,23,Emvenga Primary School,Primary School,,,,3.102752,31.43325,,
