ID,FieldNames,Theme,Name,Min,Max
1,Number of school-aged boys and girls continuously accessing quality and protective learning opportunities relevant to the emergency,Socio-Economic,Number of school-aged boys and girls continuously accessing quality and protective learning opportunities relevant to the emergency,0,20000.00
2,"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner.",Socio-Economic,"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner.",0,100.00
3,"Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Socio-Economic,"Number of boys and girls that access safe, quality learning opportunities (non-formal education)",0,20000.00
4,Percentage of 'age-appropriate' learners that transition into the formal primary school system,Socio-Economic,Percentage of 'age-appropriate' learners that transition into the formal primary school system,0,100.00
5,Percentage of teachers who demonstrate improvement against relevant competencies within the national teacher competency framework,Socio-Economic,Percentage of teachers who demonstrate improvement against relevant competencies within the national teacher competency framework,0,100.00
6,Percentage of Level 1 and Level 2 learners who meet the criteria for advancing from one level,Socio-Economic,Percentage of Level 1 and Level 2 learners who meet the criteria for advancing from one level,0,100.00
7,Number of learning spaces/schools set up or rehabilitated and equipped to meet standards,Socio-Economic,Number of learning spaces/schools set up or rehabilitated and equipped to meet standards,0,30.00
8,Percentage of learners that sit for PLE (Primary Leaving Examination) pass the examination,Socio-Economic,Percentage of learners that sit for PLE (Primary Leaving Examination) pass the examination,0,100.00
9,"Percentage of learners that sit for PLE, pass, and transition to secondary/vocational opportunities",Socio-Economic,"Percentage of learners that sit for PLE, pass, and transition to secondary/vocational opportunities",0,100.00
10,"Percentage of AEP teachers who demonstrate an increased understanding and application of psychosocial support, positive discipline, child safeguarding and child protection following training",Socio-Economic,"Percentage of AEP teachers who demonstrate an increased understanding and application of psychosocial support, positive discipline, child safeguarding and child protection following training",0,100.00
11,Percentage of the targeted children have an average increase on PSS well - being.,Socio-Economic,Percentage of the targeted children have an average increase on PSS well - being.,0,100.00
12,"Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Socio-Economic,"Number of boys and girls that access safe, quality learning opportunities (non-formal education)",0,20000.00
13,Percentage of AEP centres that have functional referral pathway mechanisms established.,Socio-Economic,Percentage of AEP centres that have functional referral pathway mechanisms established.,0,100.00
14,Percentage of Accelerated Education Centre Management Committee (CMC) members demonstrating an improved understanding of their roles and responsibilities.,Socio-Economic,Percentage of Accelerated Education Centre Management Committee (CMC) members demonstrating an improved understanding of their roles and responsibilities.,0,100.00
15,"Percentage of CMC members demonstrating active involvement in decision making processes, problem solving and planning for school events.",Socio-Economic,"Percentage of CMC members demonstrating active involvement in decision making processes, problem solving and planning for school events.",0,100.00
16,Percentage of relevant district authority staff demonstrating an improved understanding of the AEP approach and principles,Socio-Economic,Percentage of relevant district authority staff demonstrating an improved understanding of the AEP approach and principles,0,100.00
17,Number of additional classrooms constructed.,Socio-Economic,Number of additional classrooms constructed.,0,70.00
18,Number of additional gender-sensitive WASH facilities,Socio-Economic,Number of additional gender-sensitive WASH facilities,0,500.00
19,Number of AEP Centres established,Socio-Economic,Number of AEP Centres established,0,20.00
20,Number of learners provided with scholastic materials,Socio-Economic,Number of learners provided with scholastic materials,0,11000.00
21,Percentage of learners targeted under the ECW Programme with access to scholastic materials,Socio-Economic,Percentage of learners targeted under the ECW Programme with access to scholastic materials,0,100.00
22,Number of children with disabilities supported with assistive devices,Socio-Economic,Number of children with disabilities supported with assistive devices,0,6000.00
23,Number of schools with improved accessibility for children with disabilities,Socio-Economic,Number of schools with improved accessibility for children with disabilities,0,15.00
24,Percentage of schools accessible to children with a mobility impairment.,Socio-Economic,Percentage of schools accessible to children with a mobility impairment.,0,100.00
25,Number of teachers provided with training programmes on accommodating children with disabilities in schools.,Socio-Economic,Number of teachers provided with training programmes on accommodating children with disabilities in schools.,0,1500.00
26,Number of education facilities reached with awareness and monitoring of child protections issues,Socio-Economic,Number of education facilities reached with awareness and monitoring of child protections issues,0,190.00
27,Number of girls supported with menstrual hygiene management,Socio-Economic,Number of girls supported with menstrual hygiene management,0,22000.00
28,Number of teachers supported through salary,Socio-Economic,Number of teachers supported through salary,0,1600.00
29,"Number of teachers provided with induction training, refresher course and support",Socio-Economic,"Number of teachers provided with induction training, refresher course and support",0,2100.00
30,Number of training programme for refugee teacher being developed,Socio-Economic,Number of training programme for refugee teacher being developed,0,2.00
31,Percentage of schools supervised at least once a term by the district education office/ DES/ MEOS,Socio-Economic,Percentage of schools supervised at least once a term by the district education office/ DES/ MEOS,0,100.00
32,Number of primary schools provided with relevant teaching and learning materials,Socio-Economic,Number of primary schools provided with relevant teaching and learning materials,0,130.00
33,Number of teachers in AEP centres provided with relevant teaching and learning materials,Socio-Economic,Number of teachers in AEP centres provided with relevant teaching and learning materials,0,200.00
34,Number of pilot studies conducted on early grade reading and numeracy,Socio-Economic,Number of pilot studies conducted on early grade reading and numeracy,0,12.00
35,Percentage of AEP actors that are implementing AEP in line with the contextualized and harmonized AEP guidelines,Socio-Economic,Percentage of AEP actors that are implementing AEP in line with the contextualized and harmonized AEP guidelines,0,100.00
